iter	Passed	Remaining
435	589	762
436	590	760
437	591	758
438	591	756
439	592	754
440	593	752
441	594	750
442	595	748
443	595	746
444	596	744
445	597	742
446	598	740
447	600	740
448	601	738
449	602	736
450	603	734
451	603	732
452	604	730
453	605	728
454	606	726
455	607	724
456	607	722
457	608	720
458	609	718
459	610	716
460	610	714
461	611	712
462	612	710
463	614	709
464	615	708
465	616	706
466	617	704
467	618	702
468	619	701
469	619	699
470	620	697
471	621	695
472	622	693
473	623	691
474	623	689
475	624	687
476	625	685
477	626	683
478	627	682
479	628	681
480	630	679
481	630	678
482	631	676
483	632	674
484	633	672
485	634	670
486	634	668
487	635	666
488	636	665
489	637	663
490	638	661
491	638	659
492	639	657
493	640	655
494	641	654
495	642	652
496	643	651
497	644	649
498	645	647
499	645	645
500	646	643
501	647	642
502	648	640
503	648	638
504	649	637
505	650	635
506	651	633
507	652	632
508	653	630
509	654	628
510	655	626
511	656	625
512	657	624
513	658	622
514	659	621
515	660	619
516	661	617
517	662	616
518	663	614
519	663	612
520	664	611
521	665	609
522	666	607
523	667	606
524	667	604
525	668	602
526	669	601
527	670	599
528	671	598
529	672	596
530	673	595
531	674	593
532	675	591
533	676	590
534	677	588
535	678	587
536	679	585
537	680	584
538	680	582
539	681	580
540	682	579
541	683	577
542	684	576
543	685	574
544	686	573
545	687	571
546	688	570
547	689	568
548	689	566
549	690	565
550	691	563
551	692	562
552	693	560
553	694	558
554	695	557
555	695	555
556	696	554
557	697	552
558	698	551
559	699	549
560	700	548
561	701	546
562	702	545
563	703	543
564	704	542
565	705	540
566	706	539
567	706	537
568	707	536
569	708	534
570	709	533
571	710	531
572	711	530
573	712	528
574	713	527
575	714	525
576	715	524
577	716	523
578	717	521
579	718	520
580	719	518
581	719	517
582	720	515
583	721	514
584	722	512
585	723	511
586	724	509
587	725	508
588	725	506
589	726	505
590	727	503
591	728	502
592	729	500
593	731	499
594	732	498
595	733	497
596	734	495
597	735	494
598	736	493
599	737	491
600	738	490
601	739	488
602	739	487
603	740	485
604	741	484
605	742	482
606	743	481
607	743	479
608	744	478
609	746	477
610	747	475
611	747	474
612	748	472
613	749	471
614	750	469
615	751	468
616	752	466
617	752	465
618	753	463
619	754	462
620	755	460
621	755	459
622	756	457
623	757	456
624	758	455
625	759	453
626	760	452
627	761	450
628	762	449
629	763	448
630	764	446
631	765	445
632	765	444
633	766	442
634	767	441
635	768	439
636	769	438
637	770	436
638	770	435
639	771	434
640	772	432
641	773	431
642	774	430
643	775	428
644	776	427
645	777	426
646	778	424
647	779	423
648	779	421
649	780	420
650	781	418
651	782	417
652	782	416
653	783	414
654	784	413
655	785	411
656	786	410
657	787	409
658	788	407
659	789	406
660	790	405
661	790	403
662	791	402
663	792	401
664	793	399
665	794	398
666	795	396
667	795	395
668	796	394
669	797	392
670	798	391
671	799	390
672	800	388
673	800	387
674	801	386
675	802	384
676	803	383
677	804	382
678	805	380
679	806	379
680	806	377
681	807	376
682	808	375
683	809	373
684	809	372
685	810	371
686	811	369
687	812	368
688	813	367
689	813	365
690	814	364
691	815	362
692	816	361
693	817	360
694	818	359
695	819	357
696	819	356
697	820	355
698	821	353
699	822	352
700	823	351
701	823	349
702	824	348
703	825	347
704	826	345
705	827	344
706	827	343
707	828	341
708	829	340
709	830	339
710	831	337
711	832	336
712	833	335
713	834	334
714	834	332
715	835	331
716	836	330
717	837	328
718	837	327
719	838	326
720	839	324
721	840	323
722	841	322
723	841	320
724	842	319
725	843	318
726	844	317
727	845	315
728	846	314
729	846	313
730	847	312
731	848	310
732	849	309
733	850	308
734	851	306
735	852	305
736	852	304
737	853	303
738	854	301
739	855	300
740	856	299
741	856	297
742	857	296
743	858	295
744	859	294
745	860	292
746	860	291
747	861	290
748	862	289
749	863	287
750	864	286
751	865	285
752	866	284
753	866	282
754	867	281
755	868	280
756	869	279
757	869	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	875	269
765	876	267
766	877	266
767	878	265
768	879	264
769	880	262
770	881	261
771	881	260
772	882	259
773	883	257
774	884	256
775	884	255
776	885	254
777	886	252
778	887	251
779	888	250
780	888	249
781	889	248
782	890	246
783	891	245
784	892	244
785	893	243
786	893	241
787	894	240
788	895	239
789	896	238
790	897	237
791	897	235
792	898	234
793	899	233
794	900	232
795	901	230
796	902	229
797	902	228
798	903	227
799	904	226
800	905	224
801	906	223
802	907	222
803	907	221
804	908	220
805	909	218
806	910	217
807	911	216
808	911	215
809	912	214
810	913	212
811	914	211
812	915	210
813	915	209
814	916	208
815	917	206
816	918	205
817	919	204
818	919	203
819	920	202
820	921	200
821	922	199
822	923	198
823	924	197
824	925	196
825	925	195
826	926	193
827	927	192
828	928	191
829	929	190
830	930	189
831	931	188
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	935	180
838	936	179
839	937	178
840	938	177
841	939	176
842	940	175
843	941	173
844	941	172
845	942	171
846	943	170
847	944	169
848	945	168
849	946	167
850	947	165
851	948	164
852	948	163
853	949	162
854	950	161
855	952	160
856	953	159
857	954	157
858	954	156
859	955	155
860	956	154
861	957	153
862	958	152
863	959	151
864	960	149
865	961	148
866	962	147
867	963	146
868	964	145
869	964	144
870	965	143
871	967	141
872	968	140
873	968	139
874	969	138
875	970	137
876	971	136
877	972	135
878	973	133
879	974	132
880	975	131
881	976	130
882	977	129
883	977	128
884	978	127
885	979	126
886	981	124
887	982	123
888	983	122
889	984	121
890	985	120
891	986	119
892	986	118
893	987	117
894	988	116
895	989	114
896	990	113
897	991	112
898	992	111
899	993	110
900	994	109
901	995	108
902	996	107
903	997	105
904	998	104
905	999	103
906	1000	102
907	1000	101
908	1002	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1006	94
914	1006	93
915	1007	92
916	1008	91
917	1009	90
918	1010	89
919	1010	87
920	1011	86
921	1012	85
922	1013	84
923	1014	83
924	1015	82
925	1015	81
926	1016	80
927	1017	78
928	1018	77
929	1019	76
930	1019	75
931	1020	74
932	1021	73
933	1022	72
934	1022	71
935	1023	69
936	1024	68
937	1025	67
938	1026	66
939	1027	65
940	1028	64
941	1028	63
942	1029	62
943	1030	61
944	1031	60
945	1032	58
946	1032	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1036	52
952	1037	51
953	1038	50
954	1039	48
955	1040	47
956	1041	46
957	1042	45
958	1043	44
959	1043	43
960	1044	42
961	1045	41
962	1046	40
963	1047	39
964	1048	38
965	1048	36
966	1049	35
967	1050	34
968	1051	33
969	1051	32
970	1052	31
971	1053	30
972	1054	29
973	1055	28
974	1056	27
975	1057	25
976	1057	24
977	1058	23
978	1059	22
979	1060	21
980	1061	20
981	1061	19
982	1062	18
983	1063	17
984	1064	16
985	1065	15
986	1065	14
987	1066	12
988	1067	11
989	1068	10
990	1069	9
991	1070	8
992	1071	7
993	1071	6
994	1072	5
995	1073	4
996	1074	3
997	1075	2
998	1075	1
999	1076	0
